1453,0.016
1423,0.012
1395,0.008
1373,0.0062
1335,0.0031
1317,0.0022
1296,0.0016
1276,0.0012
1253,0.0011
1244,0.0012
1238,0.0013
1228,0.0016
1219,0.0019
1207,0.0023
1198,0.0027
1178,0.004
1147,0.0066
1112,0.0103
1067,0.0155
1021,0.0226
963,0.0325
922,0.0404
875,0.0503
788,0.0705
734,0.0837
663,0.1065
601,0.1269
530,0.1501
472,0.1678
426,0.1812
380,0.188
310,0.202
256,0.213
177,0.224
85,0.234
35,0.239
-30,0.234
-72,0.245
-136,0.248
-166,0.25
-280,0.248
-329,0.246
-378,0.242
-419,0.238
-457,0.234
-477,0.231
-559,0.215
-592,0.206
-638,0.196
-672,0.188
-716,0.174
-742,0.168
-767,0.161
-837,0.139
-887,0.124
-967,0.1
-1014,0.086
-1057,0.073
-1102,0.06
-1149,0.048
-1174,0.043
-1194,0.038
-1215,0.034
-1241,0.028
-1261,0.0243
-1286,0.0192
-1328,0.013
-1381,0.0073
-1419,0.0042
-1463,0.0022
-1493,0.0018
